Id,Fen,Moves,Rating,RatingDeviation
0typv,1q1Q3k/6p1/5N1p/4b3/8/6PP/PrP2P2/3R2K1 b - - 2 32,b8d8 d1d8,550,115
16SdZ,5bk1/p4p1p/6p1/2p5/8/2P3Q1/4q1PP/4Rr1K w - - 2 32,e1f1 e2f1,550,148
5wUQo,B1r3k1/p1p2ppp/1p4q1/2p1P3/2b2Pn1/P5P1/3R3P/3R2K1 b - - 0 23,c8a8 d2d8 a8d8 d1d8,550,115
88yQQ,2r3k1/p4pp1/4b2p/8/2r5/6Q1/PP5P/K2q1R2 w - - 0 25,f1d1 c4c1 d1c1 c8c1,550,111
B7iNR,3r2k1/1pp2ppp/p1p1rq2/6Q1/4P1b1/3P1N2/PPPN1PK1/R4R2 b - - 9 19,f6g5 f3g5,550,116
F6qh9,8/8/R1R1r2k/2Pp1p1p/3P4/6p1/3K4/4r3 b - - 2 61,g3g2 c6e6 e1e6 a6e6,550,102
FVn3E,2rr2k1/6pp/p4p2/1p1q4/3PpB2/1P6/P2Q1PPP/3R2K1 b - - 1 26,d5d4 d2d4 d8d4 d1d4,550,112
GF5dV,3r1rk1/2p2ppp/5b2/pp6/5P2/1P1b4/PB1N2PP/1R1Q2K1 b - - 2 22,f6b2 b1b2,550,110
BWM5n,2kr2r1/1ppqbp2/p1np3p/8/3PP3/P1P2N2/1P2N1P1/R3QRK1 b - - 2 19,g8g2 g1g2,551,119
3xpqp,6k1/8/4p2p/2r2pp1/8/5B1P/5PPB/1R4K1 w - - 0 34,b1b6 c5c1 f3d1 c1d1,553,109
4N4bw,r1b2r1k/pppp2pp/1n1P4/4p3/4R3/1Q6/P5PP/4Rq1K w - - 4 25,e1f1 f8f1,559,194
GGImz,1k3r2/p1p5/Pp6/1P3r1p/1P2p1pQ/4P3/6PP/R4qK1 w - - 0 35,a1f1 f5f1,566,159
41TJT,4r1k1/ppp2ppp/8/8/4R3/8/PP1R1BnP/1K6 b - - 0 23,e8e4 d2d8 e4e8 d8e8,567,100
FECOz,2N2rk1/1p4bp/1p2p1p1/6r1/2B5/8/Pn3PPP/R4RK1 b - - 0 21,f8c8 c4e6 g8f8 e6c8,569,123
2LS8N,3r2rk/1Q3p1p/p4p1q/4b3/8/1PN1PR1P/P5B1/2R3K1 b - - 3 25,g8g2 g1g2,573,114
37FBV,2r2k2/5pp1/p3p3/1p1pP2R/8/1RP3r1/P1PK4/8 b - - 2 33,g3g4 h5h8 f8e7 h8c8,575,127
AenkT,3r1rk1/pp3ppp/3q1b2/1P6/8/3B3P/PP3PP1/R2Q1RK1 w - - 0 18,d3h7 g8h7 d1d6 d8d6,578,102
Bi7NB,rn3rk1/ppp2ppp/bn6/8/Q2P4/2N2N2/PP1K1PPP/R7 w - - 3 15,a4a3 b6c4 d2c2 c4a3,582,134
4guG4,5k2/p1p1rp2/1p3q2/8/2BQ4/5nRP/PPP3P1/7K w - - 2 27,d4f6 e7e1 c4f1 e1f1,583,102
0wDXm,rnbqk2r/pp2ppbp/6p1/2p1P2n/2B5/5N2/PPPP2PP/RNBQ1RK1 w kq - 1 8,c4f7 e8f7,584,123
4mZM7,r4rk1/p1q2pp1/4p2p/1pb1n3/2p4P/5QB1/P4PP1/1BR2R1K w - - 0 22,g3e5 c7e5,584,125
1yW1t,8/1p3k2/p1p4p/8/1PP5/3N3P/PK6/5r2 b - - 3 39,f1f3 d3e5 f7f6 e5f3,585,116
ABGci,4r3/1p4k1/p1ppqp2/6p1/1P1P2Q1/8/P4PPP/R5K1 w - - 4 37,g4g3 e6e1 a1e1 e8e1,586,98
2sm7k,5rk1/1p3rpn/p1p4p/2PpR3/3P4/P1NQ4/1P4PP/4Rq1K w - - 6 24,e1f1 f7f1 d3f1 f8f1,588,124
EFNa9,5rk1/2pb1ppp/p2p4/8/2PqPn2/P6P/4BPP1/1N1Q1RK1 w - - 0 20,d1d4 f4e2 g1h2 e2d4,588,162
03Ap5,7k/6p1/p2b3p/2pPp2q/2P5/4BQP1/P5KP/8 b - - 1 32,h5f3 g2f3,590,110
51mc7,r1k5/p5pp/2p5/2B5/2Pp4/1Q1P4/PP3RPP/RN2q2K w - - 1 26,f2f1 e1f1,591,128
DMSyT,r3k2r/1pp2ppp/p1qp1n2/2b1P3/8/2N4P/PPP2PP1/R1BQR1K1 b kq - 0 12,c5f2 g1f2,591,148
EKgle,3q2k1/5rpp/3b4/p2Q4/Pp1B1P2/8/3r1PPP/R1R3K1 b - - 0 24,d2d4 d5d4,591,182
3yyaY,1rR1k2r/5pp1/1p2p2p/1b1pP3/1n1P4/4PN2/P5PP/2R3K1 b k - 1 25,b8c8 c1c8 e8e7 c8h8,592,153
5KC54,5r1k/4R1p1/8/1p1B3p/2P5/1P1Q4/P5PP/5q1K w - - 2 30,d3f1 f8f1,592,110
7xNSh,r2Q2k1/5ppp/p3p1q1/8/8/P4N1P/1n3PP1/3R2K1 b - - 1 27,a8d8 d1d8,592,115
3AuuY,8/8/2k3p1/1p1n1p1p/1P2pP1P/P5P1/4K3/3N4 b - - 3 46,d5c3 d1c3,593,137
93vl3,4r1k1/p3qppp/8/4P3/4Q3/1P5P/P7/4R2K b - - 2 32,e7e5 e4e5 e8e5 e1e5,593,130
5uYbT,8/1bp2k2/8/3p4/3Pn1R1/2P1P3/P4PK1/7r w - - 0 40,g2h1 e4f2 h1g2 f2g4,594,93
8DoHo,5k2/5pp1/3K3p/4Pr1P/8/8/2R5/8 b - - 1 53,f5h5 c2c8,594,124
9e1Q2,r2qk2r/2pp3p/npn1p2P/p3Pp2/2PP1P2/B1P3p1/P3Q1PN/R3KR2 b Qkq - 0 23,g3h2 e2h5,595,224
AHNRv,r1b1k2r/pp2b1pp/2n1pq2/2p3N1/5P2/P2Q4/1PP1B1PP/R1B1K2R b KQkq - 2 12,e8g8 d3h7,595,212
AGcPv,1r1Q2k1/5ppp/4p3/4P3/1p1R1PP1/8/r1qpK2P/3R4 b - - 1 33,b8d8 d4d8,596,140
4d84x,4QR1k/1pq3pp/p5nr/2p1p3/8/1PPP2PP/P3N1BK/8 b - - 0 32,g6f8 e8f8,597,104
5m3sx,8/RP4p1/3p1kp1/3Pp3/4p3/1r2Pp1P/5PP1/5K2 w - - 0 30,g2g3 b3b1,597,116
Czp4e,3r4/7k/p5pp/1pb2B2/8/5N2/P1P2PPP/qN1Q2K1 w - - 0 20,f5g6 h7g6,597,104
GaZnv,6k1/2pr1ppp/3R4/p6r/8/4BP1P/PR3PK1/8 b - - 0 26,c7d6 b2b8 d7d8 b8d8,597,94
0DRHL,2r1Q1k1/pp3ppq/3P4/3p4/5P2/PP6/2PK1P2/4R3 b - - 3 37,c8e8 e1e8,598,106
1T6vH,5rk1/6pp/3p4/1R2p3/1PP5/6bP/6P1/1R3q1K w - - 3 33,b1f1 f8f1,598,103
4JD9I,8/8/p5kp/1p6/1P1n1PK1/P7/1B6/8 b - - 1 50,d4e6 f4f5 g6f7 f5e6,598,93
9myQq,2R5/r3ppk1/6p1/5n1p/8/2B4P/P4PP1/6K1 b - - 3 29,g7h7 c8h8,598,116
D9kRw,rnbqk2r/pppp1ppp/5n2/2b1p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 4,c5f2 e1f2,598,121
DpHKR,8/1k6/p1nR4/P7/3p2p1/6P1/2P2PK1/8 w - - 4 40,d6d4 c6d4,598,114
DCySr,rnbqkbnr/pp1p1ppp/8/2p1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,c4f7 e8f7,599,120
EPunR,1r4k1/5ppp/p7/4pP2/6P1/1P5P/P2R2q1/3K4 b - - 0 29,b8d8 d2d8,599,117
EaJSE,Q1Rq2k1/5ppp/4p3/8/1p6/6PP/5P2/6K1 b - - 0 33,d8c8 a8c8,599,108
00JQS,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,600,87
00fgg,4r1k1/p4ppp/8/8/8/8/PP1b1PPP/K2R4 w - - 0 21,d1d2 e8e1 d2d1 e1d1,600,88
00kQE,1rb3k1/p5pp/1p6/3R4/2B1p3/8/PP3rPP/1K5R b - - 1 26,g8h8 d5d8 f2f8 d8f8,600,86
00kRi,2r1kb1r/p1q2ppp/2p1p3/3pPbP1/Q2P3P/2R2P2/PP1N4/R1B1K3 w Qk - 3 20,c3c6 c7c6 a4c6 c8c6,600,108
01Wni,2rn2k1/p2bRppp/8/3B2N1/8/8/P4PPP/R1r3K1 w - - 0 24,a1c1 c8c1 e7e1 c1e1,600,91
01qIp,5rk1/p5pp/2ppp3/4p2R/4N1q1/5Q2/PPP3P1/1K6 w - - 3 22,f3g4 f8f1 g4d1 f1d1,600,90
02y6e,qr1r2k1/5p2/4p1p1/p3P1Np/5nPQ/P7/1P1R1P1P/3R2K1 w - - 1 27,d2d8 b8d8 d1d8 a8d8,600,112
034f3,r1b3k1/pp4pp/6p1/2pB4/5r2/2b5/P4PPP/3RR1K1 b - - 0 20,g8h8 e1e8 f4f8 e8f8,600,95
03Ulb,6k1/P1p2ppp/4p3/8/2n5/7P/1r4P1/3RK3 b - - 0 36,b2a2 d1d8,600,107
03ba5,6k1/1R2pp1p/2r3p1/3p1b2/2pB4/4P2P/5PP1/6K1 b - - 1 34,e7e6 b7b8 c6c8 b8c8,600,109
04QuI,3r1rk1/ppp2ppp/1q6/4Q3/8/P2b1B1P/5PP1/4R1K1 b - - 0 27,f8e8 e5e8 d8e8 e1e8,600,98
04QwV,4r3/1qR2kpp/3rpp2/p3P3/1p3P1P/4B3/PP4P1/1KR5 b - - 1 33,b7c7 c1c7 d6d7 c7d7,600,85
04eIu,Q5k1/5ppp/4p2b/rqp1P3/8/1PB1P3/2PP2PP/R5K1 b - - 0 26,a5a8 a1a8 b5b8 a8b8,600,95
04gCa,3n2k1/1pp3pp/1b6/p2p4/3P4/P1P3PP/1P4P1/4R1K1 b - - 0 24,d8f7 e1e8,600,106
04oYd,4r1k1/3R1p1p/p5pK/2p2p2/2P5/P6P/6P1/8 b - - 2 39,e8e3 d7d8 e3e8 d8e8,600,107
04tHV,2kr3r/1b3Rpp/pp2p3/2b5/N1p1P3/8/PP4PP/R1B4K w - - 1 22,a4c5 d8d1 f7f1 d1f1,600,102
04tOW,5Rr1/2kr4/4R1p1/1p3pB1/p7/8/5PPP/6K1 w - - 7 38,f8g8 d7d1 e6e1 d1e1,600,107
05S4S,n1r2rkQ/p2q3p/3P2pP/2p5/1P6/P4R1P/8/5RK1 b - - 1 37,g8h8 f3f8 c8f8 f1f8,600,107
05XRv,1r6/6pp/1N6/p7/n1R5/5k2/5P1P/6K1 w - - 2 40,b6a4 b8b1 c4c1 b1c1,600,85
068Q3,2r3k1/5ppp/p3q3/1pp1R3/4Q1Pb/5P2/PPP1B3/2K5 b - - 0 24,e6a2 e5e8 c8e8 e4e8,600,86
06mvj,rn1qr1k1/pp3ppp/2p2Nb1/6b1/3p4/3B1P2/PPP1Q1PP/R3R1K1 b - - 1 14,g5f6 e2e8 d8e8 e1e8,600,85
079qd,1k6/ppp3pp/2p5/8/8/1Pb1R2P/P1b3PK/3r4 b - - 2 29,c3b4 e3e8 d1d8 e8d8,600,95
07qNu,2r4k/pp5p/8/5n2/P6r/2NR4/1PK5/3R4 b - - 0 38,h4a4 d3d8 c8d8 d1d8,600,90
07tcW,r5k1/2p3p1/3p2pp/1p2p3/2P5/4B2P/5PP1/2K2R2 w - - 0 29,c4b5 a8a1 c1d2 a1f1,600,113
08UiH,4r3/pbpk2pp/1p1br3/1N4B1/8/8/PPPR1PPP/3R2K1 w - - 7 22,h2h3 e6e1 d1e1 e8e1,600,103
08UnN,r5k1/5ppp/4p3/2P5/3P4/8/5PPP/q1R3K1 w - - 0 36,c1a1 a8a1,600,114
091GJ,2b2qrk/p2r1p2/1p1p1Pp1/4p2Q/2P1P3/1P1B3R/P5PP/2R3K1 b - - 0 28,g6h5 h3h5 f8h6 h5h6,600,101
094l9,3r4/p2R1pkp/1pn1p1p1/8/5B2/2P5/P1P2PPP/6K1 w - - 1 23,d7c7 d8d1,600,106
09YeT,rnb1k2r/p2pppbp/6p1/qB2P3/3P4/2Q2N2/PP3PPP/R1B1K2R b KQkq - 0 10,a5b5 c3c8,600,108
09r4E,2rR2k1/5pp1/2r1b2p/1p6/8/2p3BP/1P3PP1/1B1R2K1 b - - 1 27,c8d8 d1d8,600,103
09rZJ,r1bq1Q1k/pppp2pp/8/4p3/3n4/3P3P/PPP4P/RN3RK1 b - - 6 15,d8f8 f1f8,600,94
09skQ,2r3k1/p4ppp/1p2pq2/3Q4/3P4/2P4P/PP2RPP1/4R1K1 b - - 0 28,e6d5 e2e8 c8e8 e1e8,600,104
0A74k,8/6pp/1k6/pr6/R4P2/K5P1/7P/8 b - - 19 48,b5b4 a4b4 a5b4 a3b4,600,101
0AGTO,8/1p1n2p1/p1k4p/P2p4/1R6/2P2K1P/1P6/8 w - - 6 36,b4g4 d7e5 f3f4 e5g4,600,86
0AKwW,8/2k5/5p2/p2R4/1p5P/1Pp5/P1P5/1K4r1 w - - 2 44,d5d1 g1d1,600,111
0AMC8,3r2k1/5pbp/4p1p1/3rP3/pppNR3/7P/PPP2PP1/1K2R3 w - - 4 25,d4c6 d5d1 e1d1 d8d1,600,92
0AMoI,1k5Q/pppr1p2/8/2Pp2p1/8/6P1/P1P1KPP1/1r6 b - - 1 30,d7d8 h8d8,600,138
0BAq6,6k1/pb3pp1/8/3p1PN1/P5KP/1rp3P1/8/4R3 b - - 1 35,d5d4 e1e8,600,110
